WS2M,PRECTOTCORR,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,WS10M,ALLSKY_SFC_SW_DWN,TS,T2M,WS50M,PS,QV2M,ALLSKY_SFC_UV_INDEX
3.98,4.55,67.7,100.41,6.08,3.6,9.2,8.8,8.3,100.29,5.86,0.81
1.64,0.02,100.29,103,2.39,5.61,8.06,7.12,3.18,101.18,3.97,1.1
2.48,4.81,66.83,99.78,3.67,3.56,9.13,9.4,5.03,101.1,5.8,0.9
1.98,7.07,86.39,102.66,3.09,4.62,11.05,10.9,4.56,101.33,6.96,1.05
1.66,0.02,84.03,103.34,2.71,4.45,11.31,11.38,3.98,101.42,7.32,1.19
3.09,0.27,67.18,106.62,4.83,3.48,10.58,10.58,6.8,101.11,6.71,1.13
3.99,0.44,101.42,109.3,6.02,5.6,8.66,8.05,8.15,101.3,5.13,1.35
3.01,0.1,108.59,109.35,4.55,6.1,8.96,8.43,6.34,101.19,4.94,1.19
3.62,0.52,93.49,104.38,5.41,5.17,8.01,7.33,7.22,100.68,5.13,0.98
3.83,0.74,102.23,108.8,5.77,5.65,7.85,7.21,7.76,100.84,4.88,0.98
3,5.94,64.47,109.24,4.45,3.44,7.69,7.07,6.05,100.75,5.19,0.69
2.55,0,112.27,113.06,3.98,6.32,8.33,7.99,5.7,101.23,4.46,1.12
1.06,0.15,103.77,111.94,1.67,5.7,9.52,10.4,2.35,101.3,5.8,1.3
0.97,0,97.04,112,1.66,5.3,10.34,11.73,2.57,100.89,6.77,1.35
1.09,0.22,95.64,113.44,1.8,5.23,10.68,11.18,2.69,100.58,7.08,1.42
2.48,11.43,42.02,116.4,4.05,2.05,10.42,10.76,6.4,100.31,7.57,0.71
2.81,4.71,80.44,115.55,4.44,4.27,10.48,10.5,6.53,100.4,6.9,1.07
2.64,0.12,113.18,117.66,4.05,6.26,9.83,9.44,5.64,100.82,5.98,1.23
1.42,0.1,80.97,114.34,2.16,4.31,8.62,8.5,2.93,100.82,5.62,0.98
1.61,0,113.45,114.17,2.55,6.33,11.12,11.3,3.65,100.68,6.41,1.13
1.73,0,117.05,117.82,2.72,6.5,12.04,12.86,3.83,100.52,7.02,1.2
1.5,0,105.6,118.58,2.7,5.77,13.04,14.44,4.42,100.35,7.32,1.23
1.22,0,87.92,119.34,1.95,4.68,13.05,13.87,2.8,100.65,7.57,1.18
1.19,0,91.09,119.2,1.85,4.92,12.88,13.51,2.72,100.74,7.39,1.37
1.09,0,89.34,120.68,1.73,4.84,13,13.75,2.51,100.48,7.2,1.38
1.13,0.01,84.74,121.16,1.73,4.51,13.21,13.5,2.46,100.18,7.69,1.33
1.77,0.02,69.88,120.06,2.79,3.66,12.43,11.91,3.7,100.26,7.63,1.14
2.1,0,45.52,121.35,3.25,2.25,12.35,11.82,4.19,100.46,7.32,0.84
1.55,0.03,40.51,116.31,2.46,2,11.59,11.32,3.65,100.67,7.14,0.72
1.4,0.08,66.66,121.45,2.38,3.39,11.76,11.87,3.84,100.71,7.51,0.99
2.57,0.02,97.03,125.23,3.98,5.17,12.08,11.87,5.36,100.48,7.51,1.3
1.62,0.01,86.49,128.01,2.48,4.56,13.09,12.47,3.34,100.44,7.63,1.4
2.09,0.13,68.92,127.31,3.15,3.56,11.96,11.36,4.16,100.57,7.32,1.21
1.7,1.38,54.77,127.87,2.7,2.66,11.59,11.59,3.99,101.03,8,0.92
1.92,0.1,113.28,129.77,3.12,6,13.23,13.1,4.45,101.18,8,1.68
2.16,0.1,91.67,130.86,3.52,4.7,13.25,13.15,5.11,101.02,8.36,1.47
2.09,0.07,117.83,133.21,3.32,6.32,14.51,14.71,4.77,100.83,8.54,1.76
2.05,0.04,129.67,135.52,3.26,6.8,15.38,15.66,4.69,100.73,9.09,2.02
4.34,0.07,123.41,135.52,6.78,6.57,13.23,13.05,9.2,100.26,7.81,2.07
4.16,0.42,134.8,138.65,6.23,7.43,10.64,9.94,8.2,100.27,5.62,2
3.32,3.29,91.1,132.95,4.95,4.84,9.9,9.18,6.52,100.5,5.86,1.33
3.32,0.98,127.33,137.87,4.98,7.04,9.26,8.61,6.66,100.96,5.49,1.58
2.56,0.02,137.05,139.41,3.95,7.65,10.07,9.58,5.58,101.27,5.43,1.58
2.52,0.01,139.55,139.98,4.16,7.78,11.58,12.08,6.35,100.92,5.8,1.58
2.09,0,100.32,136.69,3.16,5.42,11.18,10.58,4.22,100.67,6.59,1.29
1.25,0,135.53,137.19,2.02,7.46,12.59,12.33,2.96,100.75,6.47,1.65
1.19,0,136.47,138.12,2.05,7.56,13.55,14.76,3.12,100.69,6.96,1.77
1.3,0.03,114.98,136.77,2.19,6.22,13.75,14.86,3.19,100.64,7.45,1.67
1.76,0.01,138.55,139.69,3.08,7.53,12.65,12.59,4.84,101,7.45,1.94
2.76,0.04,100.02,136.44,4.34,5.27,12.37,12.05,5.88,100.59,7.39,1.51
3.2,0.13,70.6,134.32,4.82,3.71,11.58,11.37,6.32,99.98,7.14,1.08
3.46,0.15,112.17,139.28,5.23,6.16,10.4,9.82,6.88,100.5,5.74,1.5
1.34,0.05,119.35,138.59,1.98,6.54,9.85,9.55,2.64,100.97,5.25,1.48
2.23,2.7,127.38,139.04,3.33,7.04,10.75,10.01,4.55,100.79,5.98,1.48
2.3,0.88,74.27,140.3,3.46,3.78,10.65,10.16,4.68,100.7,6.35,0.99
2.22,0.12,113.48,142.06,3.36,6.15,11.76,11.17,4.43,100.72,6.47,1.35
2.95,0.02,74.49,143.8,4.42,3.8,11.48,10.65,5.63,100.72,6.84,1.05
2.52,0.05,89.93,146.46,3.7,4.7,11.34,10.5,4.72,100.79,6.59,1.27
1.84,0,117.19,146.55,2.91,6.28,12.65,12.27,3.93,100.75,7.32,1.62
2.09,0.01,145.3,147.99,3.26,7.94,13.34,13.35,4.42,100.72,7.39,1.81
