WS2M,PRECTOTCORR,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,WS10M,ALLSKY_SFC_SW_DWN,TS,T2M,WS50M,PS,QV2M,ALLSKY_SFC_UV_INDEX
1.07,0.13,52.11,73.96,1.8,2.8,13.42,14.23,2.82,100.69,7.39,0.7
2.72,0.04,51.16,72.16,4.19,2.72,12.1,12.09,5.8,100.57,7.39,0.68
2.7,2.86,68.91,74.6,4.23,3.69,12.52,12.65,6.06,100.88,7.75,0.71
2.38,2.83,58.67,73.18,3.8,3.15,12.7,12.78,5.76,100.96,7.81,0.63
1.69,0,70.36,73.09,2.72,3.76,11.94,11.76,3.95,100.9,7.45,0.75
1.54,0.93,40.93,70.98,2.74,2.1,13.05,13.51,4.47,100.45,9.4,0.55
2.09,11.62,26.44,66.83,3.5,1.32,13.9,14.19,5.56,100.11,9.52,0.36
2.64,7.61,42.25,64.69,4,2.21,12.19,11.81,5.5,100.28,7.63,0.48
1.64,0.07,43.95,66.28,2.76,2.32,13.69,14.05,4.23,100.37,7.81,0.45
1.83,0.05,50.85,62.91,3.02,2.74,13.13,13.3,4.45,100.69,7.87,0.48
2.52,0.27,43.61,67.54,3.98,2.27,12.3,12.18,5.73,100.98,7.75,0.48
2.23,0,62.87,66.8,3.46,3.48,11.64,11.55,4.93,101.33,6.23,0.64
2.24,0.03,59.26,66.89,3.53,3.14,12.97,13.08,5.16,101.39,7.69,0.62
2.52,0.11,59.88,65.62,4.34,3.19,14.69,15.51,7.02,101.13,7.87,0.6
2.64,0,64.77,65.32,4.7,3.6,14.02,15.29,7.65,100.98,5.31,0.6
2.12,0,63.34,63.96,3.43,3.55,12.66,14.28,4.88,101.12,5.19,0.58
1.68,0,63.49,63.98,2.98,3.56,12.47,13.86,4.58,101.07,5.31,0.57
2.46,0,60.41,62.38,4.17,3.42,12.29,13.1,6.38,101.18,4.7,0.55
1.68,0,62.1,62.79,2.76,3.53,12.06,13.92,4.09,101.02,5.13,0.55
2.1,0,60.67,61.3,3.55,3.48,11.11,11.63,5.34,101.06,4.94,0.54
1.73,0,56.53,58.55,2.77,3.23,10.93,12.19,3.89,101.05,5.37,0.5
1.76,0,58.44,59.31,2.8,3.27,11.14,12.67,3.94,100.87,5.49,0.5
1.46,0,56.73,58.38,2.33,3.16,11.43,12.97,3.3,100.65,5.43,0.46
1.52,1.48,38.65,58.34,2.3,2.09,10.9,11.34,3.23,100.75,6.96,0.41
3.3,7.9,39.73,58.34,5.14,2.15,12.12,12.29,7.48,100.73,7.75,0.38
2.74,0,59.28,60.41,4.19,3.38,9.11,8.84,5.88,101.37,4.82,0.48
1.45,0,53.02,59.26,2.12,2.91,8.3,8.43,2.78,101.51,4.58,0.46
2.34,10.88,39.48,57.12,3.43,2.12,9.2,9.49,4.63,101.12,6.1,0.39
1.82,7.14,24.16,54.82,2.97,1.25,12,12.06,4.67,100.83,8.18,0.27
1.99,3.08,37.95,55.04,2.96,2.01,9.84,9.3,4.16,100.88,6.53,0.35
3.97,39.46,9.13,53.09,6.28,0.46,12.46,12.99,8.99,100.03,9.03,0.1
2.73,2.26,53.69,57.21,4.14,3.02,9.17,8.86,5.91,100.88,5.74,0.38
2.62,0.04,55.83,57,4.01,3.18,7.95,7.72,5.74,101.58,4.7,0.38
2.27,0,50.79,55.96,3.44,2.89,7.21,6.98,4.83,101.79,3.97,0.34
2.01,0,54.24,55.58,3.05,3.09,7.36,7.64,4.21,101.67,4.39,0.36
1.6,0,54.21,55.22,2.43,3.08,7.08,7.91,3.31,101.33,4.46,0.34
1.93,1.26,23.6,50.78,2.8,1.22,7.82,7.6,3.83,100.88,5,0.22
2.43,0.15,34.76,50.02,3.73,1.88,9.65,9.28,5.35,100.91,6.16,0.27
2.1,0,51.8,52.41,3.45,2.92,9.58,10.26,5.02,101.27,5.62,0.34
2.09,0,51.23,51.91,3.47,2.87,8.77,8.97,5.23,101.2,5.25,0.35
1.59,0.01,43.27,48.27,2.49,2.43,8.14,9.05,3.6,100.92,5.19,0.32
0.86,0.08,24.96,50.38,1.23,1.3,8.43,9.14,1.58,100.82,6.16,0.23
1.41,0.01,25.94,51.46,2.16,1.39,8.04,8.3,2.97,101.06,5.62,0.27
2.21,0,43.28,49.81,3.33,2.43,7.29,6.95,4.7,101.05,5,0.32
1.7,0,46.12,49.54,2.54,2.65,7.79,8.3,3.55,100.72,4.7,0.28
1.71,0.06,41.87,52.05,2.5,2.34,6.62,5.87,3.31,100.47,4.94,0.27
3.07,12.31,15.12,48.99,4.49,0.77,8.29,7.55,5.78,100.42,6.16,0.16
4.67,60.14,14.02,51.07,7.41,0.71,12.66,13.32,10.61,100.42,9.09,0.14
2.75,6.61,17.71,48.82,4.52,0.92,12.25,13.24,6.95,101.3,8.79,0.17
1.93,9.14,22.01,50.69,3.34,1.13,12.15,12.95,5.59,101.18,8.61,0.22
2.06,15.24,11.91,49.4,3.57,0.61,12.93,13.58,6.07,100.93,9.4,0.12
2.1,20.38,9.58,49.12,3.65,0.48,13.28,13.85,6.12,100.87,9.58,0.12
0.73,1.07,30.25,50.24,1.26,1.61,13.07,14.53,1.9,101.22,9.4,0.3
1.5,0.34,43.76,51.12,2.59,2.39,12.23,12.77,4.27,100.8,8.85,0.38
2.34,17.91,12.5,49.46,3.87,0.64,12.62,13.01,6.07,100.33,9.09,0.14
2.23,4.02,37.99,51.95,3.54,2.06,11.65,12.01,5.46,100.78,7.75,0.34
3.82,14.26,13.03,49.2,5.94,0.66,12.55,12.91,8.43,101.04,8.61,0.15
3.45,26.41,43.09,51.54,5.49,2.39,12.5,12.98,7.95,100.93,8.67,0.34
1.24,1.12,26.22,52.49,1.84,1.39,9.6,9.92,2.57,101.05,6.9,0.24
4.41,23.02,12.32,50.77,6.88,0.61,12.62,13.06,9.59,100.11,9.03,0.16
4.94,63.11,36.1,53.21,7.77,1.96,12.15,12.62,10.65,99.5,8.54,0.35
4.08,19.19,11.7,53.34,6.37,0.58,10.77,10.97,8.92,99.36,7.87,0.13
2.66,21.28,10.11,54.02,4.08,0.49,9.87,9.93,5.76,99.41,7.2,0.1
3.36,6.69,18.92,53.59,5.19,0.96,10.44,10.79,7.34,101.06,7.39,0.19
2.01,2.93,54.45,55.58,3.21,2.91,12.13,12.3,4.89,101.6,7.87,0.44
2.49,0,47.84,54.51,3.8,2.65,10.32,9.85,5.17,101.48,6.84,0.46
1.4,0.74,52.15,53.79,2.17,2.92,11.02,10.98,3.23,100.79,7.08,0.48
2.28,1.99,44.01,55.67,3.63,2.39,10.48,10.76,5.35,101.05,7.51,0.43
2.04,0.02,52.66,53.54,3.12,2.95,8.72,8.98,4.37,101.48,6.04,0.4
1.31,0.01,55.97,56.36,1.91,3.16,8.15,9.21,2.51,101.49,5.49,0.41
1.09,0.35,46.42,55.64,1.62,2.5,9.56,10.03,2.36,101.24,7.08,0.38
2.16,2.12,31.81,53.23,3.49,1.67,10.94,11.22,5.51,100.89,7.75,0.3
1.68,0,53.79,57.38,2.6,2.92,9.32,9.06,3.73,100.88,6.41,0.43
2.2,5.72,49.03,55.85,3.41,2.64,10.95,10.62,5.02,100.2,7.45,0.42
3.34,11.06,22.89,58.11,5.01,1.15,9.51,9.05,6.95,100.26,6.47,0.23
2.48,0.01,59.99,60.71,3.66,3.35,8.11,7.67,5.06,101.52,5.07,0.36
1.19,0.28,43.41,57.81,1.62,2.3,8.11,8.31,2.01,101.91,5.49,0.34
2.69,8.73,46.85,57.76,4.16,2.53,10.04,10.1,5.84,101.4,6.84,0.4
2.86,7.79,48.8,60.57,4.42,2.65,9.43,9.62,6.41,100.98,6.59,0.38
1.99,0.17,59.09,62.3,2.91,3.32,8.03,8.05,3.92,101.36,5.43,0.4
1.38,0.56,60.44,61.34,1.99,3.35,7.91,8.17,2.64,101.52,5.74,0.4
1.37,1.64,40.68,60.05,2.01,2.19,9.39,9.65,2.75,101.44,6.9,0.31
2.8,0,63.4,63.88,4.38,3.58,8.48,8.32,6.49,101.52,5.31,0.46
2.3,0,64.73,65.08,3.77,3.63,8.62,8.78,5.8,101.26,5.55,0.49
2.38,0,64.63,64.91,3.82,3.64,8.67,8.69,5.52,100.72,5.8,0.52
1.69,0.5,43.76,62.07,2.59,2.35,8.3,8.6,3.78,100.71,6.41,0.42
2.19,0.7,57.19,65.34,3.27,3.14,8.43,8.28,4.55,101.26,5.74,0.51
1.97,2.68,45.34,65.97,3,2.39,9.34,9.47,4.28,101.46,6.53,0.45
2.83,7.67,29.74,64.89,4.42,1.48,10.21,10.55,6.36,101.34,7.63,0.34
1.17,0.46,59.7,65.43,1.74,3.2,10.26,10.53,2.44,101.32,6.59,0.55
2.73,7.15,30.99,67.12,4.27,1.56,10.48,10.64,6.27,100.97,7.57,0.35
1.76,0.03,48.92,70.22,2.63,2.59,9.34,9.04,3.76,101.11,5.92,0.54
2.15,6.76,20.62,70.59,3.41,1.01,11.49,11.65,5.32,100.99,8.12,0.34
1.7,1.82,44.45,70.19,2.9,2.29,12.23,12.64,4.62,100.93,8.67,0.62
1.18,0.44,50.29,71.8,1.85,2.66,11.78,12.13,2.66,100.92,8.12,0.64
2.67,2.06,62.66,71.69,4.09,3.48,10.62,10.77,5.97,101.14,6.59,0.74
2.67,0.01,74.16,75.49,4.23,4.2,8.73,8.5,6.27,100.91,5.13,0.83
3.09,0.15,60.88,70.55,4.74,3.39,9.67,9.22,6.48,101.07,5.8,0.7
1.85,0,75.16,75.77,3.06,4.21,10.45,11.65,4.54,101.12,6.35,0.75
1.87,0.01,76.15,76.56,3.24,4.28,10.33,11.65,4.91,100.98,6.47,0.79
2.33,0,77.65,78.14,3.94,4.39,10.44,10.94,6.09,100.65,6.53,0.86
1.58,0.01,64.48,76.61,2.52,3.57,10.62,12.16,3.59,101.12,6.59,0.85
1.45,0.02,65.47,77.62,2.28,3.51,11.19,12,3.34,101.66,7.2,0.9
1.7,0.02,63.99,79.03,2.84,3.47,11.63,12.19,4.53,101.53,7.57,0.91
1.74,0,60.72,78.6,2.97,3.33,11.37,12.37,4.6,101.02,6.9,0.78
3.45,0,81.96,82.75,5.38,4.63,10.53,10.67,7.58,100.37,5.86,0.95
2.84,0.02,79.98,82.84,4.19,4.49,8.03,7.23,5.73,100.75,4.7,0.83
1.46,0.04,67.98,83.01,2.05,3.78,6.51,6.51,2.59,100.9,4.33,0.66
0.98,3.81,36.64,78.25,1.33,1.93,6.19,5.6,1.66,100.42,4.76,0.41
1.61,2.15,47.19,80.73,2.34,2.51,6.88,5.98,3.22,100.54,4.82,0.45
1.71,1.24,72.25,82.58,2.41,4.01,6.98,5.96,3.18,100.96,4.58,0.62
1.89,0,84.16,85.55,2.8,4.76,6.88,7.12,3.8,101.37,4.33,0.74
1.57,0.01,84.34,85.73,2.31,4.77,7.54,7.98,3.02,101.25,5,0.7
1.31,0,85.94,86.59,2.07,4.83,8.69,9.87,2.94,101.16,5.49,0.73
1.62,0,86.84,87.54,2.63,4.86,9.52,10.49,3.75,100.97,6.1,0.84
1.05,0,83.79,87.35,1.59,4.7,10.24,11.98,2.16,100.8,6.59,0.9
1.41,0,66.77,88.52,2.12,3.6,10.08,11.06,2.92,100.79,7.2,0.87
4.09,8.91,29.02,88.61,6.29,1.39,10.63,11.04,8.77,100.11,7.63,0.46
4.67,41.14,28.45,90.73,7.4,1.38,12.55,13.21,10.74,99.35,9.03,0.44
3.36,5.27,68.2,93.84,5.15,3.68,10.03,10.27,7.12,100.46,6.41,0.83
3.2,4.59,88.92,95.15,4.77,4.93,9.82,10.15,6.39,100.8,6.1,0.91
2.23,2.55,87.28,92.16,3.28,4.91,9.29,9.2,4.59,100.49,5.31,0.8
3.18,12.46,71.05,96,4.71,3.88,8.49,7.69,6.31,100.15,5.55,0.65
2.73,0.59,77.12,96.56,3.98,4.19,8.53,8.66,5.41,100.76,5.07,0.73
4.51,37.75,34.48,96.34,6.88,1.66,10.37,10.41,9.3,100.41,7.2,0.44
2.14,14.09,72.86,97.84,3.19,3.87,9.47,9.14,4.38,100.76,6.41,0.74
2.92,4.52,77.27,98.44,4.36,4.21,9.91,9.57,6.04,101.06,6.29,0.71
2.41,0.39,80.89,100.12,3.49,4.31,9.12,8.77,4.64,101.12,5.98,0.93
4.36,1.42,94.59,103.7,6.48,5.27,9.35,8.47,8.57,100.22,5.31,1.21
2.76,4.49,57.34,99.89,4.05,3.03,7.11,5.91,5.6,99.36,4.94,0.67
2,2.09,96.1,102.87,2.8,5.43,7.4,5.88,3.64,99.55,4.52,0.79
2.12,7.58,68.09,102.05,3.01,3.68,7.92,6.89,4.12,100.47,5.13,0.66
3.29,7.93,73.78,105.66,4.88,3.92,8.48,8.4,6.33,101.03,5.43,0.97
2.93,7.74,91.1,106.98,4.38,4.98,9.56,9.27,6.16,100.46,5.92,1.13
1.91,2.04,83.59,106.61,2.81,4.55,9.74,9.43,3.85,100.91,5.86,0.98
2.98,9.56,53.29,97.79,4.58,2.73,10.36,10.37,6.56,100.67,7.02,0.72
2.52,4.7,91.29,107.4,3.72,5.01,9.69,9.26,5.12,100.46,6.1,0.98
2.77,0.07,109.41,112.11,4.16,6.1,9.8,9.34,5.95,100.3,5.55,1.02
2.31,0.15,110.47,113.3,3.55,6.08,9.87,9.61,5.11,100.12,5.43,1.13
3.12,9.33,50.32,110.5,4.62,2.54,8.62,7.9,6.3,99.89,5.86,0.65
1.6,0.99,80.22,111.77,2.39,4.28,8.66,8.21,3.34,100.65,5.8,0.84
0.91,0.23,89.53,109.08,1.34,4.86,8.81,9.34,1.77,101.35,5.8,1.08
1.67,0.33,101.51,111.17,2.62,5.6,10.76,11.01,3.84,101.17,6.29,1.26
2.25,14.48,54.64,114.74,3.73,2.69,11.94,12.23,5.84,100.66,8.3,0.81
3.97,15.42,89.49,116.92,6.09,4.83,10.78,10.71,8.36,100.35,6.9,1.1
1.86,0.02,101.81,114.98,2.79,5.65,10.36,9.82,3.94,100.76,6.04,1.16
2.88,8.5,52.52,116.52,4.35,2.74,9.5,10.06,5.95,99.99,6.65,0.68
2.95,3.57,62.04,113.89,4.47,3.2,9.36,9.34,6.28,99.7,6.53,0.73
1.95,10.16,83.62,117.93,2.99,4.48,10.68,10.63,4.16,100.1,6.96,0.89
2.09,2.24,52.01,114.66,3.16,2.62,9.9,9.87,4.45,100.49,6.84,0.78
3.06,14.77,62.13,117.33,4.67,3.15,9.73,9.63,6.55,100.24,6.65,0.87
2.16,2.32,95.96,124.07,3.27,5.16,9.85,9.78,4.55,100.87,6.29,1.23
2.47,12.28,47.06,120.02,3.72,2.3,10.49,10.48,5.31,100.55,7.08,0.83
1.72,12.08,58.11,119.91,2.64,2.92,11.39,11.3,3.75,100.16,7.32,0.93
2.46,14.12,52.71,123.19,3.71,2.63,10.43,10.42,5.3,99.62,7.32,0.73
2.42,2.81,104.53,122.76,3.58,5.69,10.06,9.53,4.7,100.08,6.41,1.2
1.05,0.12,97.32,124.91,1.55,5.2,10.33,10.55,2.01,100.86,6.35,1.3
2.83,7.53,63.17,127.94,4.23,3.21,10.4,10.72,5.79,100.23,6.77,0.9
1.66,2.14,112.93,127.18,2.61,6.1,11.19,11.25,3.81,100.87,6.96,1.27
1.23,2.81,70.16,123.83,1.85,3.58,11.05,11.34,2.45,100.53,7.26,1.02
2.03,2.57,93.85,123.96,2.96,5.03,11.11,10.99,3.97,100.13,6.96,1.22
4.66,30.29,39.78,128.14,7.17,1.89,11.75,11.94,10.12,99.91,7.87,0.59
2.75,24.88,35.08,131.98,4.37,1.63,12.37,12.76,6.62,100.44,8.24,0.51
1.56,0.29,116.7,131.94,2.59,6.19,14.17,14.41,3.99,100.63,8.24,1.48
2.91,0.38,70.41,127.69,4.43,3.6,12.91,12.59,5.92,99.76,7.87,1.01
3.45,3.68,70.77,129.94,5.2,3.57,11.73,11.39,7.02,100.39,7.26,1.09
3.43,15.67,80.62,128.54,5.07,4.31,10.87,9.96,6.77,100.36,6.59,1.19
2.22,0.46,128.74,137.92,3.24,7.07,11.02,9.95,4.55,101.27,5.55,1.69
2.31,0,135.4,138.77,3.55,7.52,12.02,11.68,5.05,101.07,6.04,1.68
1.71,0.08,137.27,138.11,2.58,7.53,13.44,13.33,3.53,100.52,7.02,1.75
1.7,0.07,115.18,135.89,2.59,6.23,13.42,12.88,3.48,100.23,7.87,1.66
2.27,0.1,111.27,135.39,3.39,5.94,12.82,12.4,4.51,99.96,7.93,1.56
1.78,0.53,89.7,124.39,2.69,4.82,13,12.4,3.65,100.15,7.39,1.2
1.95,0.28,71.29,126.23,2.9,3.68,12.55,11.98,3.82,100.58,7.51,1.11
2,0.23,51.69,134.8,2.9,2.53,12.43,11.61,3.85,100.86,7.2,0.89
1.76,0.3,57.2,131.25,2.55,2.84,11.73,11.01,3.45,100.57,6.96,0.85
1.9,0.01,106.59,135.17,2.88,5.68,14.11,13.55,3.84,100.31,8.3,1.41
1.95,0,133.24,139.18,3.04,7.24,15.12,15.22,4.16,100.33,8.85,-999
1.43,0.03,88.98,140.6,2.23,4.61,15.05,14.86,2.88,100.59,9.03,1.42
1.66,0.06,77.78,142.71,2.5,3.96,14.39,13.88,3.34,100.62,8.73,1.29
2.08,0,142.23,146.37,3.28,7.75,15.26,15.51,4.51,100.44,8.97,2.23
1.84,0,146.04,146.66,2.77,8.13,14.76,14.61,3.7,100.29,8.12,2.16
1.81,0,141.54,147.52,2.86,7.81,14.6,14.83,4.08,100.2,7.75,-999
2.04,0.02,81.18,147.8,3.04,4.2,12.45,11.51,3.96,100.11,7.45,1.29
1.77,0.05,120.62,145.18,2.74,6.43,13.44,12.81,3.64,100.45,7.87,1.67
2.38,0.06,69.4,147.52,3.5,3.57,12.66,11.8,4.32,100.66,7.45,1.18
2.95,0.01,110.27,148.46,4.34,5.9,12.44,11.67,5.59,100.57,7.32,1.7
2.05,0,145.73,150.59,3.12,7.7,14.11,13.77,4.15,100.52,8.24,2.25
2.6,0,150.41,152,4,8.27,13.93,13.8,5.36,100.48,8,2.45
2.12,0,151.57,152.64,3.34,8.31,14.1,14.31,4.69,100.4,7.51,2.26
1.51,0,139.91,148.33,2.49,7.63,15.31,16.19,3.68,100.39,8.18,2.05
2.05,0,138.66,149.32,3.25,7.54,14.44,14.22,4.41,100.32,8.3,2.15
2.23,0,140.78,151.64,3.42,7.65,14.12,13.88,4.59,100.2,8.36,2.27
2.84,0,152.9,154.21,4.29,8.38,13.56,13.08,5.73,100.43,7.75,2.5
1.42,0,148.89,155.23,2.38,7.96,16.12,17.12,3.5,100.33,9.52,2.54
1.65,0.01,123.35,149.5,2.75,6.6,15.85,16.25,3.78,100.22,9.16,2.04
2.77,0,148.49,151.47,4.38,8.02,15.06,14.95,5.94,100.58,9.16,2.34
2.34,0,100.16,151.52,3.58,5.21,15.21,14.81,4.63,100.32,9.34,1.69
2.3,0,102.59,154.13,3.62,5.4,14.28,13.85,4.8,100.29,8.48,1.78
1.73,2.91,58.17,152.96,2.73,2.82,12.9,12.65,3.79,100.46,8.06,1.03
1.1,0.57,110.51,154.85,1.89,5.68,13.62,13.86,2.82,100.22,8.79,1.72
1.61,7.38,77.81,153.58,2.73,3.89,14.26,14.73,4.24,99.67,9.34,1.2
2.27,1.22,146.27,153.66,3.6,7.86,13.89,13.69,5.3,99.97,8.24,1.99
1.86,0.27,144.4,157.59,3.21,7.61,14.44,14.66,4.94,100.96,8.73,2.16
1.97,0.26,153.04,157.08,3.34,8.22,14.4,14.46,4.88,101.2,8.36,2.35
3.88,0,153.95,156.45,5.96,8.37,13.58,13.3,8.03,100.75,7.81,2.37
4.29,0.04,146.2,157.58,6.54,7.84,13.1,12.79,8.75,100.3,7.26,2.15
3.38,0.17,158.25,160.8,5.12,8.65,12.73,12.23,6.96,100.46,6.77,2.2
2.47,0.14,158.52,159.56,3.8,8.67,13.18,12.69,5.17,100.85,7.2,1.98
2.38,0.04,155.52,159.67,3.7,8.5,13.71,13.33,5.09,100.93,7.51,2.05
2.14,0.01,146,158.35,3.44,7.76,14.48,14.24,4.84,100.85,8.36,2.12
2.2,0.04,132.02,157.47,3.62,6.89,15.26,15.14,5.12,100.62,9.4,2.06
1.95,0.03,113.51,157.88,3.38,5.77,15.05,15.26,5.07,100.61,9.77,1.77
1.97,0.02,136.41,159.7,3.5,6.97,16.15,16.34,5.19,100.82,10.07,2.17
2.43,0.02,159.12,161.21,4.02,8.44,16.44,16.71,5.87,100.68,9.7,2.54
2.39,0.06,148.8,161.69,4.04,7.91,15.81,15.84,5.96,100.47,9.58,2.47
2.68,0.03,108.8,162.47,4.21,5.59,14.53,14.38,5.84,100.3,9.16,1.91
2.84,0.01,146.62,160.78,4.42,7.84,15.69,15.5,5.94,100.22,9.34,2.45
3.51,0,153.32,161.46,5.5,8.16,14.69,14.61,7.48,100.32,8.73,2.41
2.66,0,135.13,161.24,4.12,7.27,14.12,13.68,5.55,100.33,8.48,2.06
1.91,0,123.24,160.93,3.01,6.5,14.33,13.85,3.98,100.25,8.48,1.95
2.26,0.08,92.07,160.08,3.54,4.7,13.93,13.34,4.62,100.06,8.36,1.63
2.46,0.05,86.21,158.43,3.87,4.35,13.58,13.19,5.14,99.87,8.3,1.55
1.83,0.05,96.16,157.59,3.1,4.91,13.47,13.37,4.53,100.39,8.3,1.53
1.68,0.03,98.07,158.55,2.88,4.98,13.4,13.56,4.23,100.93,8.48,1.52
2.02,0.03,142.23,158.3,3.27,7.46,14.73,14.57,4.46,100.94,8.73,2.16
2.39,0.01,159.71,160.88,3.76,8.48,15.98,15.92,5.2,100.5,9.09,2.67
2.1,0,160,163.5,3.59,8.56,17.88,19.05,5.46,100.4,9.83,-999
2.48,0,159.34,163.3,3.97,8.66,15.72,15.73,5.52,100.4,8.79,-999
3.11,0,160.99,163.39,4.83,8.77,14.8,14.63,6.48,100.28,8.36,2.59
2.23,0,155.36,162.55,3.46,8.51,15.16,15.08,4.72,100.39,8.18,2.41
1.7,0,160.71,161.73,2.76,8.74,16.01,16.44,3.84,100.38,8.73,2.43
1.81,0,162.21,162.73,3.09,8.84,17.43,18.76,4.61,100.34,8.42,2.7
1.5,0,160.29,162.45,2.6,8.78,17.91,19.8,3.83,100.37,8.48,2.64
1.49,0.01,117.32,158.16,2.49,6.2,16.55,16.67,3.29,100.45,8.85,2.03
1.68,0.03,108.45,151.88,2.82,5.61,16.28,16.05,3.78,100.5,9.16,1.89
1.7,0.01,106.2,151.52,2.83,5.48,16.89,16.45,3.66,100.45,9.83,1.87
1.52,0.01,93.52,143.52,2.52,4.8,17.51,17.23,3.41,100.23,10.19,1.59
1.52,0.01,82.52,135.7,2.59,4.2,16.67,16.26,3.61,100.16,10.19,1.35
1.45,0.05,95.32,149.1,2.41,4.82,16.87,16.3,3.34,100.47,9.89,1.66
1.62,0.06,137.41,159.43,2.62,7.23,16.8,16.23,3.55,100.75,9.64,2.3
2.52,0.02,120.3,161.9,3.88,6.29,15.49,14.73,5.14,100.74,8.61,2.13
2.34,0,126.79,162.72,3.65,6.64,16.6,16.02,4.88,100.49,9.16,2.23
2.56,0,123.11,162.09,3.97,6.43,15.82,15.14,5.41,100.52,8.73,2.18
2.45,0.01,108.92,161.55,3.84,5.66,15.76,15.11,5.15,100.67,8.85,1.91
2.99,0.01,141.33,160.95,4.63,7.51,15.33,14.92,6.21,100.7,8.54,2.38
3.29,0.03,151.85,161.66,5.09,8.18,15,14.48,6.86,100.6,8.3,2.49
2.95,0.02,159.64,162.69,4.58,8.66,15.15,14.69,6.29,100.77,8,2.54
1.93,0,159.28,162.2,3.11,8.68,16.97,17.1,4.41,100.77,8.06,2.39
1.7,0,147.75,160.09,2.8,7.99,17.65,17.9,4.04,100.48,8.54,2.23
1.9,0,115.06,156.77,3.14,6.03,17.15,16.94,4.47,100.06,9.09,1.87
2.48,0,120.78,160.3,3.93,6.22,15.93,15.39,5.3,100.01,8.97,2.06
3.02,0,146.9,161.31,4.71,7.83,15.05,14.49,6.34,100.27,8.42,2.38
2.3,0,130.66,159.12,3.85,6.72,16.8,16.55,5.54,100.59,9.46,-999
1.62,0,140.47,159.05,2.66,7.36,18.58,18.59,3.71,100.51,9.46,2.39
2.09,0,117.04,157.91,3.34,6.16,16.58,15.94,4.63,100.48,8.73,2.18
1.85,0,126.12,158.23,2.97,6.62,17.23,16.78,4.16,100.46,8.85,2.3
1.76,0,131.26,157.3,2.84,7.01,18.33,18.06,3.95,100.47,8.67,2.28
1.55,0,155.92,156.24,2.53,8.38,19.16,19.26,3.41,100.27,8.54,2.57
1.76,0,148.04,149.08,2.93,7.92,18.57,18.31,3.91,100.16,9.09,2.41
1.42,0,141.98,147.71,2.39,7.59,17.44,17.25,3.45,100.19,9.34,2.34
1.48,0,143.25,151.83,2.55,7.41,19.29,19.17,3.53,100.34,9.34,2.41
1.46,0,149.57,150.17,2.48,7.85,20.83,20.97,3.48,100.28,10.13,2.49
1.38,0,151.95,153.56,2.41,7.87,22.51,23.15,3.5,100.04,10.99,2.63
1.52,0.01,141.84,150.27,2.57,7.42,22.57,23.05,3.52,99.86,11.05,2.45
1.84,0.17,132.62,149.71,2.96,6.89,20.94,20.59,3.91,99.69,10.62,2.27
1.9,0,151.6,153.41,3.03,8.05,20.02,19.46,3.98,99.64,10.25,2.48
1.97,0,111.66,153.86,3.02,5.81,18.08,16.99,3.87,99.99,9.83,1.96
2.07,0,102.51,153.13,3.15,5.31,17.23,16.09,4.03,100.21,9.16,1.83
1.9,0,102.73,150.5,2.91,5.31,17.16,16.02,3.69,100.27,9.46,1.84
2.07,0.01,104.34,149.66,3.16,5.38,17.45,16.36,4.06,100.31,9.4,1.85
2.57,0,130.7,149.78,3.96,6.89,18.5,17.77,5.24,100.26,8.67,2.2
3.96,0,151.48,153.83,5.95,8.14,17.57,16.78,7.59,100.11,8.61,2.48
1.95,0,129.95,151.98,2.97,6.94,17.89,17.07,3.84,100.28,8.54,2.08
2.02,0,109.95,149.48,3.06,5.79,17.85,16.95,3.9,100.34,8.73,1.81
1.93,0.04,110.49,148.33,2.94,5.77,17.53,16.5,3.79,100.09,8.61,1.83
2.16,0,120.36,147.56,3.27,6.29,16.7,15.62,4.26,100.22,8.67,1.95
2.02,0,140.12,147.05,3.22,7.48,17.31,16.63,4.4,100.5,9.16,2.22
2.56,0,145.74,147.47,3.96,7.77,17.17,16.33,5.2,100.41,8.97,2.2
2.52,0.02,112.74,147.24,3.78,5.95,16.76,15.74,4.99,100.68,8.54,1.77
1.8,0.02,121.32,146.04,2.77,6.46,19.08,18.37,3.78,100.73,8.97,1.91
1.62,0,145.88,146.6,2.59,7.77,21.44,21.84,3.62,100.32,8.85,2.22
2.31,0.01,129.13,147.74,3.59,6.84,19.21,18.43,4.75,100.23,9.28,2.17
2.88,0,121.66,148.05,4.23,6.46,17.2,15.98,5.29,100.24,8.91,2.04
1.85,0.02,110.79,146.62,2.81,5.8,18.03,16.83,3.55,100.06,8.91,1.86
2.01,0.02,96.2,144.52,2.99,4.97,16.82,15.46,3.84,100.12,8.85,1.63
2.25,0.02,109.04,142.57,3.35,5.75,16.46,15.15,4.21,100.44,8.73,1.74
2.3,0.01,84.62,141.4,3.45,4.39,16.56,15.33,4.45,100.41,8.91,1.39
3,0,122.23,142.69,4.41,6.66,16.21,15,5.61,100.4,8.12,1.91
1.63,0,117.93,142.59,2.45,6.4,17.82,17.15,3.12,100.54,7.63,1.92
2.13,0.01,100.38,139.08,3.19,5.35,16.94,15.69,4.06,100.52,8.18,1.68
2.32,0.07,91.3,138.33,3.41,4.76,16.55,15.19,4.25,100.45,8.36,1.53
2.62,0.1,87.65,139.19,3.88,4.5,16.12,14.89,4.88,100.48,8.54,1.48
2.44,0.07,93.72,139.52,3.62,4.91,16.73,15.53,4.75,100.53,8.48,1.57
